City Name,Type,Name,Price,Price Level,Rating,Review Number,Web Link
Bangkok,Tourism,Experience Real Bangkok by Bike,31.3,,5,153,https://www.tripadvisor.com/AttractionProductReview-g293916-d11472593-Experience_Real_Bangkok_by_Bike-Bangkok.html
Bangkok,Tourism,Bangkok Night Bike Tour,47.7,,5,89,https://www.tripadvisor.com/AttractionProductReview-g293916-d11454902-Bangkok_Night_Bike_Tour-Bangkok.html
Bangkok,Tourism,Colors of Bangkok,41.1,,5,54,
Bangkok,Tourism,Half-Day Siam Boran Cultural Bike,42.8,,5,35,https://www.tripadvisor.com/AttractionProductReview-g293916-d11465238-Half_Day_Siam_Boran_Cultural_Bike_Tour_of_Bangkok-Bangkok.html
Bangkok,Tourism,Private Guided Day Tour: Bangkok and,13.2,,5,438,https://www.tripadvisor.com/AttractionProductReview-g293916-d11456468-Private_Guided_Day_Tour_Bangkok_and_Beyond-Bangkok.html
Bangkok,Tourism,Bangkok Custom and Private Guided Day,11.5,,5,9,
Bangkok,Tourism,Nanta Show Admission in Bangkok,23.8,,4.5,9,
Bangkok,Tourism,Sea Life Ocean World - Admission Only,18,,,,
Bangkok,Tourism,3 Days Kanchanaburi and Ayutthaya,286.6,,,,
Bangkok,Tourism,Private Tour: 5-Day Bangkok Pattaya,313,,,,
Bangkok,Tourism,Date Night In Bangkok,394.8,,,,
Bangkok,Tourism,"Private 3-Day River Kwai, Floating",378.3,,,,
Bangkok,Tourism,"Bangkok Food, Market, Temple Evening",65.6,,5,363,https://www.tripadvisor.com/AttractionProductReview-g293916-d11454026-Bangkok_by_Night_Temples_Markets_and_Food_by_Tuk_Tuk-Bangkok.html
Bangkok,Tourism,Bangkok Food Tour with Small Group in,51.1,,5,145,https://www.tripadvisor.com/AttractionProductReview-g293916-d11453882-Bangkok_Food_Tour-Bangkok.html
Bangkok,Tourism,4-Hour Bangkok Midnight Food Tour by,65.5,,5,72,
Bangkok,Tourism,Bangkok Cooking Class with Market Tour,46.1,,5,33,
Bangkok,Tourism,Bangkok Dinner Cruise on the Chao,39.5,,4,551,https://www.tripadvisor.com/AttractionProductReview-g293916-d11449490-Bangkok_Dinner_Cruise_on_the_Chao_Phraya_River-Bangkok.html
Bangkok,Tourism,Damnoen Saduak Floating Markets Day,36.2,,4,508,https://www.tripadvisor.com/AttractionProductReview-g293916-d11449478-Floating_Markets_of_Damnoen_Saduak_Cruise_Day_Trip_from_Bangkok-Bangkok.html
Bangkok,Tourism,Floating Markets and Bridge on River,87.73,,4.5,245,https://www.tripadvisor.com/AttractionProductReview-g293916-d11449483-Floating_Markets_and_Bridge_on_River_Kwai_Tour_from_Bangkok-Bangkok.html
Bangkok,Tourism,Bangkok Grand Palace Tour with River,84.5,,4.5,93,
Bangkok,Tourism,7-Day Cultural Tour of Thailand from,"1,265.40",,4.5,2,
Bangkok,Tourism,3-Day River Kwai Floathouse Tour from,519.8,,,,
Bangkok,Tourism,Thailand 6-Day Tour: Chiang Mai,978.3,,4.5,7,
Bangkok,Tourism,2-Day River Kwai Jungle Rafts,194.7,,4.5,5,
Bangkok,Tourism,Bangkok Tour from Laem Chabang Port,164.5,,5,27,
Bangkok,Tourism,Bangkok Private Grand Palace,195.3,,5,14,
Bangkok,Tourism,Bangkok Grand Palace & Shopping Tour,161.6,,4.5,4,
Bangkok,Tourism,Bangkok Shore Excursion: Chatuchak,127.21,,,,
Bangkok,Restaurant,Tsu Japanese Restaurant - at the JW Marriott Hotel Bangkok,,$$$$,4.5,974,https://www.tripadvisor.com/Restaurant_Review-g293916-d953542-Reviews-Tsu_Japanese_Restaurant_at_the_JW_Marriott_Hotel_Bangkok-Bangkok.html
Bangkok,Restaurant,Nami Teppanyaki Steakhouse - at the JW Marriott Hotel Bangkok,,$$$$,5,"1,307",https://www.tripadvisor.com/Restaurant_Review-g293916-d1906434-Reviews-Nami_Teppanyaki_Steakhouse_at_the_JW_Marriott_Hotel_Bangkok-Bangkok.html
Bangkok,Restaurant,Colonnade,,$$$$,4.5,278,https://www.tripadvisor.com/Restaurant_Review-g293916-d3245859-Reviews-Colonnade-Bangkok.html
Bangkok,Restaurant,The Reflexions at The Athenee Hotel,,$$$$,4.5,660,https://www.tripadvisor.com/Restaurant_Review-g293916-d1674188-Reviews-The_Reflexions_at_The_Athenee_Hotel-Bangkok.html
Bangkok,Restaurant,Tealicious Bangkok,,$$ - $$$,4.5,"2,290",https://www.tripadvisor.com/Restaurant_Review-g293916-d6475518-Reviews-Tealicious_Bangkok-Bangkok.html
Bangkok,Restaurant,PEEPS Thai Eatery,,$$ - $$$,4.5,492,https://www.tripadvisor.com/Restaurant_Review-g293916-d8415918-Reviews-PEEPS_Thai_Eatery-Bangkok.html
Bangkok,Restaurant,Kurissara Thai Cuisine,,$,5,204,https://www.tripadvisor.com/Restaurant_Review-g293916-d12369367-Reviews-Kurissara_Thai_Cuisine-Bangkok.html
Bangkok,Restaurant,The Sixth,,$,5,184,https://www.tripadvisor.com/Restaurant_Review-g293916-d10637904-Reviews-The_Sixth-Bangkok.html
Bangkok,Restaurant,Goji Kitchen + Bar,,$$ - $$$,5,798,https://www.tripadvisor.com/Restaurant_Review-g293916-d11855830-Reviews-Goji_Kitchen_Bar-Bangkok.html
Bangkok,Restaurant,Riverside Terrace,,$$ - $$$,4.5,423,https://www.tripadvisor.com/Restaurant_Review-g293916-d2708599-Reviews-Riverside_Terrace-Bangkok.html
Bangkok,Restaurant,Pagoda Chinese Restaurant,,$$ - $$$,5,281,https://www.tripadvisor.com/Restaurant_Review-g293916-d11982661-Reviews-Pagoda_Chinese_Restaurant-Bangkok.html
Bangkok,Restaurant,Flavors,,$$ - $$$,4.5,783,https://www.tripadvisor.com/Restaurant_Review-g293916-d4004007-Reviews-Flavors-Bangkok.html
