City Name,Tour Name,Price,Rating,Review Number,Web Link
Beijing,"Mutianyu Great Wall, Summer Palace...",$99.00*,bubble_50,96 Reviews ,/AttractionProductReview-g294212-d11459745-All_Inclusive_Private_Day_Tour_to_Great_Wall_and_Summer_Palace-Beijing.html
Beijing,Mutianyu Great Wall and Beijing City...,$98.00*,bubble_40,72 Reviews ,
Beijing,"Beijing Forbidden City, Tiananmen...",$129.00*,bubble_50,100 Reviews ,/AttractionProductReview-g294212-d11455267-Beijing_Forbidden_City_Tour_with_Great_Wall_Hiking_at_Mutianyu-Beijing.html
Beijing,Great Wall at Badaling and Ming Tombs...,$72.99*,bubble_45,437 Reviews ,
Beijing,Private Mutianyu Great Wall Trip with...,$45.00*,bubble_50,104 Reviews ,/AttractionProductReview-g294212-d11455479-Private_Mutianyu_Great_Wall_Trip_with_English_Speaking_Driver-Beijing.html
Beijing,"Tiananmen Square, Forbidden City...",$78.00*,bubble_50,37 Reviews ,
Beijing,"Mutianyu Great Wall, Summer Palace...",$99.00*,bubble_50,96 Reviews ,/AttractionProductReview-g294212-d11459745-All_Inclusive_Private_Day_Tour_to_Great_Wall_and_Summer_Palace-Beijing.html
Beijing,Great Wall at Mutianyu Small-Group...,$80.00*,bubble_50,30 Reviews ,
Beijing,Great Wall of China at Mutianyu Tour...,$64.99*,bubble_40,343 Reviews ,
Beijing,Great Wall at Badaling and Ming Tombs...,$72.99*,bubble_45,437 Reviews ,
Beijing,"Beijing's Forbidden City, Tiananmen...",$82.99*,bubble_40,315 Reviews ,
Beijing,"Beijing Forbidden City, Tiananmen...",$129.00*,bubble_50,100 Reviews ,/AttractionProductReview-g294212-d11455267-Beijing_Forbidden_City_Tour_with_Great_Wall_Hiking_at_Mutianyu-Beijing.html
Beijing,Mutianyu Great Wall and Beijing City...,$98.00*,bubble_40,72 Reviews ,
Beijing,Private Beijing Tour: Temple of...,$122.00*,bubble_50,36 Reviews ,
Beijing,"Tiananmen Sq., Forbidden City, Temple...",$140.00*,bubble_50,55 Reviews ,
Beijing,Badaling Great Wall and Ming Tombs...,$45.00*,bubble_35,19 Reviews ,
Beijing,Xi'an Tour from Beijing by Air with...,$768.00*,bubble_50,17 Reviews ,
Beijing,Mutianyu Great Wall Private Tour with...,$100.00*,bubble_50,75 Reviews ,
Beijing,"Tiananmen Square, Forbidden City...",$78.00*,bubble_50,37 Reviews ,
Beijing,Private Mutianyu Great Wall Day Tour...,$40.00*,bubble_50,21 Reviews ,
