City Name,Tour Name,Price ($),Rating,Review Number,Web Link
Beijing,Forbidden City,9.6,4.8,55170,http://you.ctrip.com/sight/beijing1/229.html
Beijing,Tiananmen Square,0.15,4.7,11551,http://you.ctrip.com/sight/beijing1/228.html
Beijing,Badaling Great Wall,6.4,4.6,11646,http://you.ctrip.com/sight/yanqing770/230.html
Beijing,Summer Palace,8.96,4.7,17425,http://you.ctrip.com/sight/beijing1/231.html
Beijing,Nanluoguxiang,0.16,4.4,2376,http://you.ctrip.com/sight/beijing1/64955.html
Beijing,Bird&#39;s Nest (National Stadium),7.68,4.6,2941,http://you.ctrip.com/sight/beijing1/52626.html
Beijing,Yuanmingyuan,4.0,4.7,9411,http://you.ctrip.com/sight/beijing1/5208.html
Beijing,Prince Gong&#39;s Mansion,10.56,4.7,5257,http://you.ctrip.com/sight/beijing1/5174.html
Beijing,Shichahai,20.16,4.5,1386,http://you.ctrip.com/sight/beijing1/140172.html
Beijing,Temple of Heaven,10.08,4.6,4537,http://you.ctrip.com/sight/beijing1/233.html
Beijing,798 Art District,121.28,4.5,958,http://you.ctrip.com/sight/beijing1/64948.html
Beijing,Beijing Happy Valley,18.88,4.7,7149,http://you.ctrip.com/sight/beijing1/57491.html
Beijing,Water Cube (National Swimming Center),4.64,4.4,1541,http://you.ctrip.com/sight/beijing1/52627.html
Beijing,Beihai Park,1.6,4.6,2462,http://you.ctrip.com/sight/beijing1/232.html
Beijing,Beijing University,0.48,4.6,1234,http://you.ctrip.com/sight/beijing1/63021.html
Shanghai,Shanghai Disney Resort,53.12,4.6,79171,http://you.ctrip.com/sight/shanghaidisneyresort1446916/1412255.html
Shanghai,The Bund,1.44,4.7,24461,http://you.ctrip.com/sight/shanghai2/736.html
Shanghai,Pearl of the Orient,26.4,4.6,60049,http://you.ctrip.com/sight/shanghai2/762.html
Shanghai,Nanjing Road Pedestrian Street,16.96,4.5,4443,http://you.ctrip.com/sight/shanghai2/3739.html
Shanghai,Chenghuang Temple Tourist Area,16.96,4.4,2801,http://you.ctrip.com/sight/shanghai2/5691.html
Shanghai,Shanghai Wildlife Park,19.2,4.7,39544,http://you.ctrip.com/sight/shanghai2/758.html
Shanghai,Shanghai Ocean Aquarium,24.8,4.5,10788,http://you.ctrip.com/sight/shanghai2/18722.html
Shanghai,Lujiazui,16.0,4.7,693,http://you.ctrip.com/sight/shanghai2/1815444.html
Shanghai,Maya Beach Water Park,,4.6,7970,http://you.ctrip.com/sight/songjiang1445218/141307.html
Shanghai,Shanghai Happy Valley,35.2,4.7,12068,http://you.ctrip.com/sight/songjiang1445218/65957.html
Shanghai,Tajiko,1.44,4.4,2576,http://you.ctrip.com/sight/shanghai2/64755.html
Shanghai,Shanghai World Financial Center,21.6,4.7,16792,http://you.ctrip.com/sight/shanghai2/57043.html
Shanghai,Madame Tussauds Shanghai,27.2,4.5,9312,http://you.ctrip.com/sight/shanghai2/18316.html
Shanghai,Yuyuan Garden,6.4,4.6,6967,http://you.ctrip.com/sight/shanghai2/740.html
Shanghai,Xintiandi,1.44,4.5,1230,http://you.ctrip.com/sight/shanghai2/18739.html
Guangzhou,Chimelong Wildlife World,39.2,4.8,33059,http://you.ctrip.com/sight/guangzhou152/6802.html
Guangzhou,Guangzhou Tower,19.2,4.5,18209,http://you.ctrip.com/sight/guangzhou152/107540.html
Guangzhou,Sand surface,0.16,4.5,4586,http://you.ctrip.com/sight/guangzhou152/11346.html
Guangzhou,Chimelong Happy World,35.2,4.8,11273,http://you.ctrip.com/sight/guangzhou152/48593.html
Guangzhou,Baiyun Mountain,0.77,4.7,3305,http://you.ctrip.com/sight/guangzhou152/6766.html
Guangzhou,Chimelong Water Park,15.84,4.8,8995,http://you.ctrip.com/sight/guangzhou152/48597.html
Guangzhou,Shangxiajiu Pedestrian Street,26.88,4.2,1192,http://you.ctrip.com/sight/guangzhou152/64963.html
Guangzhou,Stone Room Sacred Heart Cathedral,21.28,4.5,969,http://you.ctrip.com/sight/guangzhou152/6959.html
Guangzhou,Chimelong International Circus Theatre,31.68,4.8,8032,http://you.ctrip.com/sight/guangzhou152/137991.html
Guangzhou,Million Sunflower Garden,21.6,4.4,2635,http://you.ctrip.com/sight/guangzhou152/65581.html
Guangzhou,Chen Jiayu,,4.5,1785,http://you.ctrip.com/sight/guangzhou152/6772.html
Guangzhou,Lingnan impression park,8.64,4.6,4750,http://you.ctrip.com/sight/guangzhou152/110338.html
Guangzhou,Pearl River Night Cruise,8.8,4.5,4881,http://you.ctrip.com/sight/guangzhou152/110464.html
Guangzhou,Chimelong Tourist Resort,15.2,4.8,8398,http://you.ctrip.com/sight/guangzhou152/135794.html
Guangzhou,Whampoa Military Academy Memorial Site,0.16,4.4,579,http://you.ctrip.com/sight/guangzhou152/6797.html
Hangzhou,West Lake,1.28,4.7,23034,http://you.ctrip.com/sight/hangzhou14/49894.html
Hangzhou,Lingyin Temple,0.16,4.5,7166,http://you.ctrip.com/sight/hangzhou14/2040.html
Hangzhou,Hangzhou Songcheng Scenic Area,,4.7,8982,http://you.ctrip.com/sight/hangzhou14/4081.html
Hangzhou,Hangzhou Zoo,3.2,4.7,1639,http://you.ctrip.com/sight/hangzhou14/26649.html
Hangzhou,Qinghefang Street,1.44,4.3,790,http://you.ctrip.com/sight/hangzhou14/135781.html
Hangzhou,Leifeng Tower,16.8,4.4,5123,http://you.ctrip.com/sight/hangzhou14/2033.html
Hangzhou,Hangzhou Changqiao Polar Ocean Park,55.2,4.5,5446,http://you.ctrip.com/sight/xiaoshan120060/110080.html
Hangzhou,Sancheyinyue,12.16,4.4,1022,http://you.ctrip.com/sight/hangzhou14/2038.html
Hangzhou,Hangzhou Wildlife World,33.6,4.7,4961,http://you.ctrip.com/sight/fuyang1513/25548.html
Hangzhou,Xixi National Wetland Park,11.2,4.6,14536,http://you.ctrip.com/sight/hangzhou14/25481.html
Hangzhou,Broken Bridge,9.28,4.5,885,http://you.ctrip.com/sight/hangzhou14/2031.html
Hangzhou,West Lake Music Fountain,,4.6,385,http://you.ctrip.com/sight/hangzhou14/1419677.html
Hangzhou,Lingyin (Flying Peak) Scenic Spot Hangzhou,7.2,4.6,7423,http://you.ctrip.com/sight/hangzhou14/48020.html
Hangzhou,Jiuxi Smoke Tree,23.68,4.4,734,http://you.ctrip.com/sight/hangzhou14/2024.html
Hangzhou,Impression West Lake &quot;Most Recalling Hangzhou&quot; Performance,54.4,4.4,4000,http://you.ctrip.com/sight/hangzhou14/67402.html
Sanya,Wuzhizhou Island,24.0,4.5,16640,http://you.ctrip.com/sight/sanya61/3244.html
Sanya,Yalong Bay Tropical Paradise Forest Park,21.6,4.5,14016,http://you.ctrip.com/sight/sanya61/74247.html
Sanya,Nanshan Cultural Tourism Area,18.4,4.6,9542,http://you.ctrip.com/sight/sanya61/3227.html
Sanya,Yalong Bay,48.0,4.6,12024,http://you.ctrip.com/sight/sanya61/3226.html
Sanya,Tianya Haijiao,12.0,4.5,15411,http://you.ctrip.com/sight/sanya61/3222.html
Sanya,Luhuitou Scenic Area,4.16,4.6,9785,http://you.ctrip.com/sight/sanya61/3230.html
Sanya,Sanya Qianjing Scenario Area,44.8,4.7,7499,http://you.ctrip.com/sight/sanya61/142210.html
Sanya,First market,12.64,4.1,6290,http://you.ctrip.com/sight/sanya61/110367.html
Sanya,Size Cave Day,15.68,4.6,3018,http://you.ctrip.com/sight/sanya61/3228.html
Sanya,Dadonghai,12.8,4.4,3077,http://you.ctrip.com/sight/sanya61/3224.html
Sanya,West Island,9.6,4.5,4185,http://you.ctrip.com/sight/sanya61/48963.html
Sanya,Sanya Bay,35.2,4.4,1532,http://you.ctrip.com/sight/sanya61/51680.html
Sanya,Coconut Dream Corridor,236.8,4.4,651,http://you.ctrip.com/sight/sanya61/3225.html
Sanya,Pearl River Nanta Onsen,22.08,4.5,1713,http://you.ctrip.com/sight/sanya61/3231.html
Sanya,Yalong Bay Underwater World,14.4,4.2,787,http://you.ctrip.com/sight/sanya61/107587.html
Chengdu,Dujiangyan Scenic Area,14.08,4.7,11816,http://you.ctrip.com/sight/dujiangyan911/4597.html
Chengdu,Jinli Ancient Street,0.48,4.4,12868,http://you.ctrip.com/sight/chengdu104/48862.html
Chengdu,Wide and narrow alley,0.24,4.4,10185,http://you.ctrip.com/sight/chengdu104/63456.html
Chengdu,Chengdu Zoo,3.2,4.6,1966,http://you.ctrip.com/sight/chengdu104/119895.html
Chengdu,Qingcheng Mountain,14.08,4.6,5823,http://you.ctrip.com/sight/qingchengshan143879/62960.html
Chengdu,Chengdu Giant Panda Breeding Research Base,8.64,4.6,12912,http://you.ctrip.com/sight/chengdu104/4229.html
Chengdu,Wenshuyuan,0.16,4.5,865,http://you.ctrip.com/sight/chengdu104/4341.html
Chengdu,Xiling Snow Mountain,22.4,4.7,5313,http://you.ctrip.com/sight/xilingxueshan1484/4349.html
Chengdu,Guose Tianxiang Water Park,9.44,4.6,1318,http://you.ctrip.com/sight/chengdu104/1410829.html
Chengdu,Wu Houyi,0.16,4.5,9327,http://you.ctrip.com/sight/chengdu104/4227.html
Chengdu,Aquilaria Valley,8.8,4.1,532,http://you.ctrip.com/sight/shuangliu3160/142178.html
Chengdu,Jinsha Museum,10.88,4.7,4562,http://you.ctrip.com/sight/chengdu104/48863.html
Chengdu,Du Fu Thatched Cottage,8.8,4.5,6453,http://you.ctrip.com/sight/chengdu104/4226.html
Chengdu,Chun Xi Road,14.08,4.4,1472,http://you.ctrip.com/sight/chengdu104/138472.html
Chengdu,Chengdu Happy Valley,11.04,4.6,4150,http://you.ctrip.com/sight/chengdu104/65834.html
Xiamen,Gulangyu Island,7.68,4.4,30774,http://you.ctrip.com/sight/gulangyu120058/57405.html
Xiamen,Xiamen University,1.44,4.5,10809,http://you.ctrip.com/sight/xiamen21/14050.html
Xiamen,Island Road,0.96,4.7,4952,http://you.ctrip.com/sight/xiamen21/8669.html
Xiamen,Zeng Jun,0.96,4.3,3627,http://you.ctrip.com/sight/xiamen21/109999.html
Xiamen,Xiamen Fangte Oriental Divine Painting,44.8,4.6,635,http://you.ctrip.com/sight/xiamen21/2017871.html
Xiamen,Hulishan Fort,3.68,4.6,6479,http://you.ctrip.com/sight/xiamen21/2342.html
Xiamen,Nanputuo Temple,0.16,4.5,4463,http://you.ctrip.com/sight/xiamen21/2344.html
Xiamen,Zhongshan Road Pedestrian Street,1.9,4.4,1846,http://you.ctrip.com/sight/xiamen21/137032.html
Xiamen,Xiamen Science and Technology Museum,11.04,4.6,2672,http://you.ctrip.com/sight/xiamen21/50128.html
Xiamen,Xiamen Fantasy Kingdom,44.8,4.6,2367,http://you.ctrip.com/sight/xiamen21/140141.html
Xiamen,Nikko Rock,12.8,4.5,4224,http://you.ctrip.com/sight/gulangyu120058/2345.html
Xiamen,Lingling Circus City,14.08,4.5,862,http://you.ctrip.com/sight/xiamen21/1409728.html
Xiamen,Hibiscus Tunnel,5.6,4.5,477,http://you.ctrip.com/sight/xiamen21/147606.html
Xiamen,Xiamen Underwater World,12.8,4.2,1745,http://you.ctrip.com/sight/gulangyu120058/8619.html
Xiamen,Guanyinshan Dream Coast,19.2,4.4,948,http://you.ctrip.com/sight/xiamen21/140540.html
Guilin,Lijiang,48.8,4.6,10246,http://you.ctrip.com/sight/guilin28/2888.html
Guilin,West Street,6.24,4.2,4957,http://you.ctrip.com/sight/yangshuo702/22079.html
Guilin,Two rivers and four lakes,12.48,4.6,8218,http://you.ctrip.com/sight/guilin28/5925.html
Guilin,Yulong River,6.88,4.5,5185,http://you.ctrip.com/sight/yangshuo702/22081.html
Guilin,Xiangshan Scenic Area,9.6,4.3,11698,http://you.ctrip.com/sight/guilin28/107505.html
Guilin,Silver Rock,11.2,4.5,3156,http://you.ctrip.com/sight/guilin28/18147.html
Guilin,Xanadu,10.88,4.5,3913,http://you.ctrip.com/sight/yangshuo702/140484.html
Guilin,Reed Flute Rock,14.24,4.7,6577,http://you.ctrip.com/sight/guilin28/2880.html
Guilin,&quot;Impression Liu Sanjie&quot; Landscape Reality Performance,30.88,4.3,8899,http://you.ctrip.com/sight/yangshuo702/22077.html
Guilin,Longji terraced fields,12.8,4.5,2212,http://you.ctrip.com/sight/longjititian970/14892.html
Guilin,Large banyan,1.92,4.1,2188,http://you.ctrip.com/sight/yangshuo702/22083.html
Guilin,Yulong River Rafting,6.88,4.5,1920,http://you.ctrip.com/sight/yangshuo702/137485.html
Guilin,Diecai Mountain,4.32,4.5,1861,http://you.ctrip.com/sight/guilin28/2879.html
Guilin,Shili Gallery,6.4,4.3,1320,http://you.ctrip.com/sight/yangshuo702/52551.html
Guilin,Moon Mountain,1.76,4.0,677,http://you.ctrip.com/sight/yangshuo702/22084.html
Lhasa,Potala Palace,44.48,4.7,6018,http://you.ctrip.com/sight/lhasa36/3117.html
Lhasa,Jokhang Temple,90.88,4.7,1870,http://you.ctrip.com/sight/lhasa36/3119.html
Lhasa,Namtso,9.44,4.7,1580,http://you.ctrip.com/sight/dangxiong2443/11793.html
Lhasa,Barkhor Street,0.16,4.5,775,http://you.ctrip.com/sight/lhasa36/3124.html
Lhasa,Roblinka,1.58,4.4,635,http://you.ctrip.com/sight/lhasa36/3118.html
Lhasa,Sera Monastery,1.92,4.5,330,http://you.ctrip.com/sight/lhasa36/3122.html
Lhasa,Drepung Monastery,1.92,4.5,243,http://you.ctrip.com/sight/lhasa36/3121.html
Lhasa,Lhasa River,15.84,4.4,194,http://you.ctrip.com/sight/lhasa36/54499.html
Lhasa,Yao Wangshan,15.84,4.5,246,http://you.ctrip.com/sight/lhasa36/5525.html
Lhasa,Narane korozan mouth,24.96,4.6,175,http://you.ctrip.com/sight/dangxiong2443/109943.html
Lhasa,Jokhang Temple,26.88,4.3,211,http://you.ctrip.com/sight/lhasa36/5520.html
Lhasa,Palace Square,15.84,4.7,225,http://you.ctrip.com/sight/lhasa36/1487591.html
Lhasa,Gandan Monastery,92.0,4.5,78,http://you.ctrip.com/sight/lhasa36/3120.html
Lhasa,Jokhang Temple Square,,4.6,113,http://you.ctrip.com/sight/lhasa36/1694588.html
Lhasa,Tibet Museum,,4.5,461,http://you.ctrip.com/sight/lhasa36/51555.html
Ili,Nalaiti Tourism Scenic Area,30.08,4.6,722,http://you.ctrip.com/sight/yili115/4783.html
Ili,Sailimu Lake,25.28,4.7,826,http://you.ctrip.com/sight/boertala2513/5500.html
Ili,Kala Jungle,25.6,4.6,272,http://you.ctrip.com/sight/yili115/109985.html
Ili,Solitary Princess Lavender Garden,25.28,4.3,132,http://you.ctrip.com/sight/yili115/1408815.html
Ili,Huocheng Lavender,55.68,4.5,58,http://you.ctrip.com/sight/yili115/145522.html
Ili,Fruit ditch,63.84,4.5,147,http://you.ctrip.com/sight/yili115/4779.html
Ili,Yili River,62.08,4.5,138,http://you.ctrip.com/sight/yili115/15695.html
Ili,Zhaosu grassland,952.0,4.5,50,http://you.ctrip.com/sight/zhaosu2508/134098.html
Ili,Prairie Stoneman,2.88,4.0,22,http://you.ctrip.com/sight/zhaosu2508/129586.html
Ili,Tekes Bagua City,58.88,4.4,46,http://you.ctrip.com/sight/yili115/134337.html
Ili,Nalathi National Forest Park,,4.7,66,http://you.ctrip.com/sight/yili115/134217.html
Ili,Holgos Country Gate,3.84,4.0,152,http://you.ctrip.com/sight/yili115/1411956.html
Ili,Qiongkushitai,952.0,4.6,36,http://you.ctrip.com/sight/yili115/145517.html
Ili,Yili River Bridge,,4.5,42,http://you.ctrip.com/sight/yili115/146988.html
Ili,Huiyuan Ancient City,41.28,3.9,49,http://you.ctrip.com/sight/yili115/18292.html
Qingdao,Trestle Bridge,0.32,4.3,7295,http://you.ctrip.com/sight/qingdao5/1265.html
Qingdao,Lushan,18.4,4.4,8758,http://you.ctrip.com/sight/qingdao5/56337.html
Qingdao,Badaguan,6.4,4.5,4323,http://you.ctrip.com/sight/qingdao5/50529.html
Qingdao,Qingdao Haichang Polar Ocean Park,4.78,4.3,12847,http://you.ctrip.com/sight/qingdao5/5323.html
Qingdao,Huangdao Golden Beach,0.48,4.5,1042,http://you.ctrip.com/sight/qingdao5/141097.html
Qingdao,May Fourth Square,8.0,4.5,2449,http://you.ctrip.com/sight/qingdao5/5326.html
Qingdao,Qingdao Underwater World,17.6,4.6,12060,http://you.ctrip.com/sight/qingdao5/5579.html
Qingdao,Qingdao Olympic Sailing Center,0.16,4.4,1401,http://you.ctrip.com/sight/qingdao5/57626.html
Qingdao,Qingdao Beer Museum,8.8,4.7,5525,http://you.ctrip.com/sight/qingdao5/55144.html
Qingdao,Firewood House,0.96,3.9,811,http://you.ctrip.com/sight/qingdao5/108956.html
Qingdao,First Bathing Beach,72.0,4.1,782,http://you.ctrip.com/sight/qingdao5/1268.html
Qingdao,Fantasy Kingdom,41.6,4.7,2751,http://you.ctrip.com/sight/qingdao5/109992.html
Qingdao,Zhejiang Road Catholic Church,1.44,4.5,879,http://you.ctrip.com/sight/qingdao5/5320.html
Qingdao,Hua Shi Lou,10.88,4.6,22,http://you.ctrip.com/sight/qingdao5/1278.html
Qingdao,Eye of the Aegean Ferris Wheel,7.2,4.7,888,http://you.ctrip.com/sight/qingdao5/1709148.html
Jinan,Baotu Spring Scenic Area,2.72,4.4,6603,http://you.ctrip.com/sight/jinan128/4971.html
Jinan,Daming Lake Scenic Area,2.72,4.4,4476,http://you.ctrip.com/sight/jinan128/4967.html
Jinan,Qianfoshan,0.16,4.5,3619,http://you.ctrip.com/sight/jinan128/4970.html
Jinan,Furong Street,0.16,4.4,798,http://you.ctrip.com/sight/jinan128/114664.html
Jinan,Jiurushan Waterfall Scenic Area,11.04,4.7,1678,http://you.ctrip.com/sight/jinan128/107538.html
Jinan,Black Tiger Spring,0.48,4.7,1148,http://you.ctrip.com/sight/jinan128/4975.html
Jinan,Red Valley,0.16,4.4,1020,http://you.ctrip.com/sight/jinan128/50902.html
Jinan,Spring City Plaza,0.16,4.4,622,http://you.ctrip.com/sight/jinan128/56525.html
Jinan,Jinan Zoo,0.24,4.7,1783,http://you.ctrip.com/sight/jinan128/56529.html
Jinan,Wulongtan Park,0.24,4.5,673,http://you.ctrip.com/sight/jinan128/4976.html
Jinan,Daimei Lake ocean floor world,12.0,4.2,239,http://you.ctrip.com/sight/jinan128/1408901.html
Jinan,Tianxiaquanquan Scenic Area,8.8,4.6,453,http://you.ctrip.com/sight/jinan128/1413828.html
Jinan,Jinan South Special Oriental Painting,38.4,4.8,1613,http://you.ctrip.com/sight/jinan128/1697161.html
Jinan,Lingyan Temple,8.8,4.7,478,http://you.ctrip.com/sight/jinan128/20916.html
Jinan,Pearl Spring,,4.4,171,http://you.ctrip.com/sight/jinan128/4974.html
Chongqing,Ciqikou Ancient Town,0.8,4.3,10062,http://you.ctrip.com/sight/chongqing158/43811.html
Chongqing,Jiefangbei Walking Street,0.48,4.5,2386,http://you.ctrip.com/sight/chongqing158/10386.html
Chongqing,Hongyadong Commercial Street,15.2,4.5,3867,http://you.ctrip.com/sight/chongqing158/50223.html
Chongqing,White Residence,7.2,4.3,459,http://you.ctrip.com/sight/chongqing158/18686.html
Chongqing,Zhazi Cave,1.44,4.3,641,http://you.ctrip.com/sight/chongqing158/18685.html
Chongqing,Yangtze River Ropeway,4.48,4.4,2358,http://you.ctrip.com/sight/chongqing158/109940.html
Chongqing,Nanshan Scenic Area,14.08,4.3,134,http://you.ctrip.com/sight/chongqing158/10392.html
Chongqing,Wulong Tiansheng Sanqiao,20.8,4.6,4354,http://you.ctrip.com/sight/wulong120015/45771.html
Chongqing,Dazu Rock Carved,5.76,4.6,1992,http://you.ctrip.com/sight/dazu120025/10330.html
Chongqing,Luohan Temple,57.44,4.2,305,http://you.ctrip.com/sight/chongqing158/10389.html
Chongqing,Three Gorges Museum,7.2,4.5,692,http://you.ctrip.com/sight/chongqing158/45804.html
Chongqing,Longshui Gorge seam,17.76,4.6,790,http://you.ctrip.com/sight/wulong120015/112371.html
Chongqing,Huguang Hall,4.48,4.2,348,http://you.ctrip.com/sight/chongqing158/43819.html
Chongqing,Chaotianmen Square,15.2,4.2,689,http://you.ctrip.com/sight/chongqing158/10378.html
Chongqing,Fairy Mountain National Forest Park,9.12,4.3,1043,http://you.ctrip.com/sight/wulong120015/10340.html
Aba,Jiuzhaigou Scenic Area,75.2,4.8,10725,http://you.ctrip.com/sight/jiuzhaigou25/77380.html
Aba,Wucaichi,31.84,4.7,1543,http://you.ctrip.com/sight/jiuzhaigou25/55425.html
Aba,Wuhuahai,63.68,4.8,832,http://you.ctrip.com/sight/jiuzhaigou25/55329.html
Aba,Changhai,31.84,4.7,711,http://you.ctrip.com/sight/jiuzhaigou25/55427.html
Aba,Original Forest,,4.6,348,http://you.ctrip.com/sight/jiuzhaigou25/110305.html
Aba,Panda Sea,158.4,4.7,282,http://you.ctrip.com/sight/jiuzhaigou25/55346.html
Aba,Nuorilang Waterfall,18.88,4.7,344,http://you.ctrip.com/sight/jiuzhaigou25/55308.html
Aba,Mirror sea,31.84,4.7,273,http://you.ctrip.com/sight/jiuzhaigou25/55313.html
Aba,Jian Zhuhai,,4.7,204,http://you.ctrip.com/sight/jiuzhaigou25/55356.html
Aba,Rizaogou,158.4,4.8,318,http://you.ctrip.com/sight/jiuzhaigou25/2675.html
Aba,Huanglong Scenic Area,44.8,4.6,1795,http://you.ctrip.com/sight/huanglong143864/2673.html
Aba,Tree Zhenggou,,4.7,249,http://you.ctrip.com/sight/jiuzhaigou25/2674.html
Aba,Pearl Beach Waterfall,158.4,4.7,263,http://you.ctrip.com/sight/jiuzhaigou25/110309.html
Aba,Pearl Beach,,4.7,213,http://you.ctrip.com/sight/jiuzhaigou25/55314.html
Aba,Rhino sea,105.6,4.6,191,http://you.ctrip.com/sight/jiuzhaigou25/55415.html
Hong Kong,Hong Kong Disneyland,71.84,4.8,38515,http://you.ctrip.com/sight/hongkong38/22943.html
Hong Kong,Hong Kong Ocean Park,49.28,4.7,26657,http://you.ctrip.com/sight/hongkong38/3339.html
Hong Kong,Peak of Peace,8.48,4.5,8990,http://you.ctrip.com/sight/hongkong38/3307.html
Hong Kong,Victoria Harbour,20.8,4.5,3576,http://you.ctrip.com/sight/hongkong38/55194.html
Hong Kong,Lamma Island,39.04,4.4,1022,http://you.ctrip.com/sight/hongkong38/52675.html
Hong Kong,Tsim Sha Tsui,50.08,4.5,5994,http://you.ctrip.com/sight/hongkong38/56109.html
