City Name,Tour Name,Price,Rating,Review Number,Web Link
Beijing,大董(工体店),￥360,4.5,(309条点评),/food/beijing1/8610994.html
Beijing,北京全聚德(前门店),￥191,4.4,(2716条点评),/food/beijing1/4927584.html
Beijing,东来顺饭庄(王府井店),￥161,4.1,(1015条点评),/food/beijing1/4927596.html
Beijing,护国寺小吃店（护国寺总店）,￥23,3.5,(839条点评),/food/beijing1/4936235.html
Beijing,厉家菜(德胜门店),￥620,4.5,(286条点评),/food/beijing1/4927691.html
Beijing,便宜坊烤鸭店(新世界店),￥120,4.0,(594条点评),/food/beijing1/4939198.html
Beijing,牛街清真食品特色街,￥50,4.5,(225条点评),/food/beijing1/4927614.html
Beijing,宏源南门涮肉,￥98,4.5,(1558条点评),/food/beijing1/4939531.html
Beijing,姚记炒肝店（鼓楼店）,￥22,4.5,(1652条点评),/food/beijing1/4927621.html
Beijing,海碗居（增光路总店）,￥67,4.5,(1431条点评),/food/beijing1/157902.html
Beijing,庆丰包子铺(月坛店),￥17,4.5,(1047条点评),/food/beijing1/4935770.html
Beijing,爆肚冯(1796宴乐居店),￥65,3.5,(328条点评),/food/beijing1/4927651.html
Beijing,老磁器口豆汁店(天坛店),￥15,4.5,(363条点评),/food/beijing1/4927622.html
Beijing,文宇奶酪店,￥17,4.5,(716条点评),/food/beijing1/4937346.html
Beijing,利群烤鸭店,￥161,3.5,(239条点评),/food/beijing1/4936560.html
Shanghai,小杨生煎(黄河路),￥19,4.0,(1918条点评),/food/shanghai2/400499.html
Shanghai,上海老饭店,￥136,3.5,(2259条点评),/food/shanghai2/4926708.html
Shanghai,成隆行蟹王府（南京东路店）,￥500,5.0,(2274条点评),/food/shanghai2/306172.html
Shanghai,梅龙镇酒家（总店）,￥169,4.0,(688条点评),/food/shanghai2/4994077.html
Shanghai,保罗酒楼,￥105,4.0,(762条点评),/food/shanghai2/4926751.html
Shanghai,南翔馒头店,￥69,4.1,(2332条点评),/food/shanghai2/4926728.html
Shanghai,老正兴菜馆（福州路店）,￥125,3.5,(556条点评),/food/shanghai2/4927210.html
Shanghai,王家沙点心店（南京西路总店）,￥35,4.5,(1192条点评),/food/shanghai2/456230.html
Shanghai,沈大成（南京东路店）,￥23,3.5,(445条点评),/food/shanghai2/4926688.html
Shanghai,德兴馆（广东路总店）,￥29,3.5,(1654条点评),/food/shanghai2/314198.html
Shanghai,绿波廊（豫园路店）,￥160,4.0,(792条点评),/food/shanghai2/418669.html
Shanghai,老吉士酒家（天平路店）,￥176,4.0,(602条点评),/food/shanghai2/4926854.html
Shanghai,红宝石(吴江店),￥16,4.0,(451条点评),/food/shanghai2/4999590.html
Shanghai,佳家汤包,￥37,4.4,(225条点评),/food/shanghai2/4995591.html
Shanghai,廊亦舫酒楼(正大广场店),￥168,4.0,(747条点评),/food/shanghai2/305164.html
Guangzhou,南信牛奶甜品专家,￥24,4.0,(1738条点评),/food/guangzhou152/4927086.html
Guangzhou,银记肠粉店(上九路店),￥18,4.0,(1137条点评),/food/guangzhou152/4927083.html
Guangzhou,陶陶居(第十甫店),￥72,4.0,(659条点评),/food/guangzhou152/444058.html
Guangzhou,广州酒家（文昌总店）,￥106,4.0,(1999条点评),/food/guangzhou152/444379.html
Guangzhou,陈添记(十五甫三巷店),￥22,4.0,(1881条点评),/food/guangzhou152/442537.html
Guangzhou,达扬原味炖品(文明路店),￥15,4.0,(234条点评),/food/guangzhou152/446573.html
Guangzhou,顺记冰室,￥21,3.5,(310条点评),/food/guangzhou152/4927090.html
Guangzhou,宝华面店,￥28,3.5,(840条点评),/food/guangzhou152/4927182.html
Guangzhou,吴系茶餐厅,￥88,4.0,(410条点评),/food/guangzhou152/4927099.html
Guangzhou,莲香楼(第十甫店),￥66,3.5,(149条点评),/food/guangzhou152/443279.html
Guangzhou,泮溪酒家,￥85,4.0,(635条点评),/food/guangzhou152/444374.html
Guangzhou,南园酒家,￥91,4.5,(349条点评),/food/guangzhou152/444378.html
Guangzhou,百花甜品店,￥14,4.2,(270条点评),/food/guangzhou152/446734.html
