City Name,Tour Name,Price,Rating,Review Number,Web Link
Beijing,故宫,¥60,4.8,(55170条点评),/sight/beijing1/229.html
Beijing,天安门广场,¥0.95,4.7,(11551条点评),/sight/beijing1/228.html
Beijing,八达岭长城,¥40,4.6,(11646条点评),/sight/yanqing770/230.html
Beijing,颐和园,¥56,4.7,(17425条点评),/sight/beijing1/231.html
Beijing,南锣鼓巷,¥1,4.4,(2376条点评),/sight/beijing1/64955.html
Beijing,鸟巢（国家体育场）,¥48,4.6,(2941条点评),/sight/beijing1/52626.html
Beijing,圆明园,¥25,4.7,(9411条点评),/sight/beijing1/5208.html
Beijing,恭王府,¥66,4.7,(5257条点评),/sight/beijing1/5174.html
Beijing,什刹海,¥126,4.5,(1386条点评),/sight/beijing1/140172.html
Beijing,天坛,¥63,4.6,(4537条点评),/sight/beijing1/233.html
Beijing,798艺术区,¥758,4.5,(958条点评),/sight/beijing1/64948.html
Beijing,北京欢乐谷,¥118,4.7,(7149条点评),/sight/beijing1/57491.html
Beijing,水立方（国家游泳中心）,¥29,4.4,(1541条点评),/sight/beijing1/52627.html
Beijing,北海公园,¥10,4.6,(2462条点评),/sight/beijing1/232.html
Beijing,北京大学,¥3,4.6,(1234条点评),/sight/beijing1/63021.html
Shanghai,上海迪士尼度假区,¥332,4.6,(79171条点评),/sight/shanghaidisneyresort1446916/1412255.html
Shanghai,外滩,¥9,4.7,(24461条点评),/sight/shanghai2/736.html
Shanghai,东方明珠,¥165,4.6,(60049条点评),/sight/shanghai2/762.html
Shanghai,南京路步行街,¥106,4.5,(4443条点评),/sight/shanghai2/3739.html
Shanghai,城隍庙旅游区,¥106,4.4,(2801条点评),/sight/shanghai2/5691.html
Shanghai,上海野生动物园,¥120,4.7,(39544条点评),/sight/shanghai2/758.html
Shanghai,上海海洋水族馆,¥155,4.5,(10788条点评),/sight/shanghai2/18722.html
Shanghai,陆家嘴,¥100,4.7,(693条点评),/sight/shanghai2/1815444.html
Shanghai,玛雅海滩水公园,,4.6,(7970条点评),/sight/songjiang1445218/141307.html
Shanghai,上海欢乐谷,¥220,4.7,(12068条点评),/sight/songjiang1445218/65957.html
Shanghai,田子坊,¥9,4.4,(2576条点评),/sight/shanghai2/64755.html
Shanghai,上海环球金融中心,¥135,4.7,(16792条点评),/sight/shanghai2/57043.html
Shanghai,上海杜莎夫人蜡像馆,¥170,4.5,(9312条点评),/sight/shanghai2/18316.html
Shanghai,豫园,¥40,4.6,(6967条点评),/sight/shanghai2/740.html
Shanghai,新天地,¥9,4.5,(1230条点评),/sight/shanghai2/18739.html
Guangzhou,长隆野生动物世界,¥245,4.8,(33059条点评),/sight/guangzhou152/6802.html
Guangzhou,广州塔,¥120,4.5,(18209条点评),/sight/guangzhou152/107540.html
Guangzhou,沙面,¥1,4.5,(4586条点评),/sight/guangzhou152/11346.html
Guangzhou,长隆欢乐世界,¥220,4.8,(11273条点评),/sight/guangzhou152/48593.html
Guangzhou,白云山,¥4.8,4.7,(3305条点评),/sight/guangzhou152/6766.html
Guangzhou,长隆水上乐园,¥99,4.8,(8995条点评),/sight/guangzhou152/48597.html
Guangzhou,上下九步行街,¥168,4.2,(1192条点评),/sight/guangzhou152/64963.html
Guangzhou,石室圣心大教堂,¥133,4.5,(969条点评),/sight/guangzhou152/6959.html
Guangzhou,长隆国际马戏大剧院,¥198,4.8,(8032条点评),/sight/guangzhou152/137991.html
Guangzhou,百万葵园,¥135,4.4,(2635条点评),/sight/guangzhou152/65581.html
