City Name,Tour Name,Price,Rating,Review Number,Web Link
Beijing,"Mutianyu Great Wall, Summer Palace...",$88.00*,bubble_50,93 Reviews ,/AttractionProductReview-g294212-d11459745-All_Inclusive_Private_Day_Tour_to_Great_Wall_and_Summer_Palace-Beijing.html
Beijing,Mutianyu Great Wall and Beijing City...,$98.00*,bubble_40,67 Reviews ,
Beijing,"Beijing Forbidden City, Tiananmen...",$129.00*,bubble_50,95 Reviews ,/AttractionProductReview-g294212-d11455267-Beijing_Forbidden_City_Tour_with_Great_Wall_Hiking_at_Mutianyu-Beijing.html
Beijing,Great Wall at Badaling and Ming Tombs...,$72.99*,bubble_45,435 Reviews ,
Beijing,Private Mutianyu Great Wall Trip with...,$45.00*,bubble_50,99 Reviews ,
Beijing,"Tiananmen Square, Forbidden City...",$78.00*,bubble_50,34 Reviews ,
Beijing,"Mutianyu Great Wall, Summer Palace...",$88.00*,bubble_50,93 Reviews ,/AttractionProductReview-g294212-d11459745-All_Inclusive_Private_Day_Tour_to_Great_Wall_and_Summer_Palace-Beijing.html
Beijing,Great Wall at Mutianyu Small-Group...,$80.00*,bubble_50,30 Reviews ,
Beijing,Great Wall of China at Mutianyu Tour...,$64.99*,bubble_40,343 Reviews ,
Beijing,"Beijing's Forbidden City, Tiananmen...",$82.99*,bubble_40,314 Reviews ,
Beijing,Great Wall at Badaling and Ming Tombs...,$72.99*,bubble_45,435 Reviews ,
Beijing,"Beijing Forbidden City, Tiananmen...",$129.00*,bubble_50,95 Reviews ,/AttractionProductReview-g294212-d11455267-Beijing_Forbidden_City_Tour_with_Great_Wall_Hiking_at_Mutianyu-Beijing.html
Beijing,Mutianyu Great Wall and Beijing City...,$98.00*,bubble_40,67 Reviews ,
Beijing,Private Beijing Tour: Temple of...,$122.00*,bubble_50,33 Reviews ,
Beijing,"Tiananmen Sq., Forbidden City, Temple...",$140.00*,bubble_50,55 Reviews ,
Beijing,"Beijing Lama Temple, Panda Garden and...",$108.99*,bubble_45,21 Reviews ,
Beijing,Terracotta Warriors Essential Full...,$108.99*,bubble_45,157 Reviews ,
Beijing,Beijing Day Trip of Mutianyu Great...,$39.00*,bubble_40,35 Reviews ,
Beijing,Beijing History Tour: Summer Palace...,$54.99*,bubble_45,148 Reviews ,
Beijing,"Tiananmen Square, Forbidden City...",$78.00*,bubble_50,34 Reviews ,
Beijing,Private Mutianyu Great Wall Trip with...,$45.00*,bubble_50,99 Reviews ,
Beijing,Coach Tour: Simatai Great Wall And...,$55.00*,bubble_50,12 Reviews ,
Beijing,Mutianyu Great Wall of China Private...,$46.00*,bubble_50,17 Reviews ,/AttractionProductReview-g294212-d11472278-Beijing_Mutianyu_Great_Wall_Private_Day_Trip_with_English_Speaking_Driver-Beijing.html
Beijing,Mutianyu Great Wall Full-Day Private...,$50.00*,bubble_50,14 Reviews ,
Beijing,Xi'an Tour from Beijing by Air with...,$768.00*,bubble_50,17 Reviews ,
Beijing,Mutianyu Great Wall Private Tour with...,$100.00*,bubble_50,72 Reviews ,
Beijing,Private Beijing Tour: Temple of...,$122.00*,bubble_50,33 Reviews ,
Beijing,Private Mutianyu Great Wall Day Tour...,$40.00*,bubble_50,20 Reviews ,
Beijing,Great Wall Hike: Simatai West to...,$136.00*,bubble_50,103 Reviews ,
Beijing,Beijing History Tour: Summer Palace...,$54.99*,bubble_45,148 Reviews ,
Beijing,Private Great Wall Hiking from...,$68.00*,bubble_50,30 Reviews ,
Beijing,Small Group Tour: Enjoy Your Day on...,$40.00*,bubble_50,31 Reviews ,/AttractionProductReview-g294212-d12148370-Small_Group_Tour_Enjoy_Your_Day_on_Mutianyu_Great_Wall_including_Lunch-Beijing.html
Beijing,Beijing Day Trip of Mutianyu Great...,$39.00*,bubble_40,35 Reviews ,
Beijing,Beijing Private Tour: Temple of...,$140.00*,bubble_50,14 Reviews ,
Beijing,Private Cultural Tour: Hutong...,$70.00*,bubble_45,14 Reviews ,
Beijing,3-Day Coach Tour including Great...,$258.00*,bubble_40,10 Reviews ,
Beijing,Mutianyu Great Wall and Beijing City...,$98.00*,bubble_40,67 Reviews ,
Beijing,3-Day Beijing Sightseeing Private...,$235.00*,bubble_50,16 Reviews ,
Beijing,8-Day Small-Group China Tour: Beijing...,"$1,190.00*",bubble_50,20 Reviews ,
Beijing,Private 8-Day China Tour: Beijing...,"$1,562.00*",bubble_50,1 Review ,
Beijing,Great Wall at Badaling and Ming Tombs...,$72.99*,bubble_45,435 Reviews ,
Beijing,Beijing Tour: Badaling Great Wall...,$86.99*,bubble_45,187 Reviews ,
Beijing,Beijing Highlights Full-Day Bus Tour,$28.00*,bubble_45,48 Reviews ,
Beijing,Forbidden City Tiananmen Square...,$56.99*,bubble_45,84 Reviews ,
Beijing,"Tiananmen Square, Forbidden City...",$78.00*,bubble_50,34 Reviews ,
Beijing,Great Wall at Mutianyu Small-Group...,$80.00*,bubble_50,30 Reviews ,
Beijing,Full-Day Beijing Experience With...,$119.00*,bubble_50,24 Reviews ,
Beijing,Coach Tour: Simatai Great Wall And...,$55.00*,bubble_50,12 Reviews ,
Shanghai,"Zhujiajiao Water Town, Shanghai City...",$96.00*,bubble_50,45 Reviews ,/AttractionProductReview-g308272-d12578270-Zhujiajiao_Water_Town_and_Shanghai_City_Private_Day_Tour-Shanghai.html
